,CIE_SA,MSSA,MSSA_Inner,MSSA_Adaptive,Flexible,Dedicated,VNS_Kmedian,VNS,Kmedian1,Kmedian2,Kmedian3,Kmedian4,GA2
1,608738.39,608738.39,608738.39,608738.39,841426.08,1264732.03,608738.39,608738.39,663222.35,800449.36,698285.87,663222.35,682754.15
2,95316.65,83241.63,81713.83,82335.48,86567.67,225209.14,81713.83,91929.42,86567.67,86567.67,86567.67,86567.67,95044.12
3,115271.36,115573.6,115573.6,115573.6,115573.6,168241.31,115573.6,115271.36,115573.6,115427.96,115573.6,115573.6,120947.98
4,1186898.21,1219776.19,1221376.28,1214788.01,2553489.95,2564920.88,1220950.73,1221376.28,1720385.49,1733342.35,1552644.04,1720385.49,1425438.69
5,97020.84,97020.84,97020.84,99031.92,142378.93,139375.36,97020.84,97020.84,123562.91,113894.57,123202.36,123562.91,98416.27
6,631598.01,594462.51,609200.78,617075.21,646761.09,2048510.99,597520.01,667104.21,704201.84,742439.58,618441.23,704201.84,799585.21
7,978989.47,978989.47,978989.47,979001.45,1172330.94,1446233.07,978989.47,978989.47,1100866.83,1124154.36,1027262.97,1100866.83,1050361.75
8,183558.79,183535.06,183646.65,188309.38,323728.68,277694.41,182688.79,188168.6,210778.27,225614.45,200228.42,210778.27,200101.79
9,68652.93,68652.93,68652.93,70684.74,74028.18,126266.9,68652.93,68652.93,74028.18,70200.03,74028.18,74028.18,76994.1
10,760548.28,752044.23,675347.71,754349.92,1269261.1,2225311.37,748164.06,751759.17,927881.67,1075279.51,864578.44,927881.67,881255.65
11,1042867.64,1042867.64,1042867.64,1042867.64,1553480.02,1308734.58,1042867.64,1042867.64,1264464.82,1209689.76,1235566.72,1264464.82,1046272.92
12,144416.91,144480.43,141767.08,145362.19,158122.67,265722.69,144480.43,153231.7,158122.67,158122.67,158122.67,158122.67,177180.72
13,650065.19,611169.01,611169.01,650065.19,739719.22,1147954.86,611169.01,611169.01,733476.71,706905.28,673663.64,733476.71,668648.86
14,136124.93,131043.03,131973.3,140763.95,210307.11,249210.47,137017.8,136308.21,170636.11,156440.09,151909.24,170636.11,157019.27
15,181559.06,85454.31,181559.06,180310.76,315063.83,212855.7,181559.06,181559.06,212855.7,205340.77,200390.98,212855.7,182879.22
16,1121570.75,1116697.54,1120740.81,1255460.9,1310080.45,2292027.94,1161227.82,1156744.5,1310080.45,1310080.45,1254930.38,1310080.45,1351130.8
17,452394.42,460493.2,445857.19,445857.19,480494.26,1121511.27,460493.2,468234.73,480494.26,480494.26,480494.26,480494.26,545640.85
18,98407.44,95789.29,89499.08,90461.5,139676.18,230933.65,94475.86,104250.19,118840.27,107414.76,111446.94,118840.27,110910.37
19,142770.27,142770.27,142770.27,142770.27,243245.21,166699.43,142770.27,142770.27,165571.22,166699.43,153381.28,165571.22,145844.08
20,910227.52,892598.17,878770.24,881056.43,959387.66,2150865.66,886799.44,893138.93,936101.85,955107.26,947450.77,936101.85,1020429.11
21,73042.65,70954.14,73042.65,70954.14,80791.98,129836.22,73042.65,73042.65,80791.98,80791.98,77193.36,80791.98,74442.46
22,836357.77,836357.77,836855.96,837543.72,1777086.5,2219506.15,927250.31,927250.31,1167842.29,1008869.29,964087.23,1167842.29,1127767.8
23,1135294.8,1135294.8,1135294.8,1143728.2,1816118.81,1482137.1,1135294.8,1135294.8,1482137.1,1401869.19,1220453.59,1482137.1,1143728.2
24,145453.76,146360.62,151580.2,151301.96,159469.39,241048.23,146360.62,153067.66,159469.39,159469.39,152920.19,159469.39,164842.0
25,83746.52,83746.52,82532.8,84828.86,124299.62,120130.39,83746.52,83746.52,113983.06,103905.73,86707.0,113983.06,84169.19
26,548604.63,495926.79,495926.79,539858.72,539858.72,2032409.19,495926.79,642484.61,539858.72,539858.72,530709.89,539858.72,673434.86
27,850871.07,850871.07,850871.07,897775.29,1077695.47,1346392.11,850871.07,883419.93,924085.27,935458.48,918549.1,924085.27,908389.13
