num_clusters,num_used_servers,avg_num_servers_per_cluster,avg_num_skills_per_server,avg_cross_training_perf,total_stock
3,5,1.6666666666666667,3.0,30.0,46
5,5,1.0,4.0,20.0,91
4,9,2.25,3.0,30.0,70
8,11,1.375,2.3636363636363638,11.818181818181818,486
4,6,1.5,2.6666666666666665,26.666666666666664,60
7,7,1.0,2.857142857142857,14.285714285714286,132
4,9,2.25,2.3333333333333335,23.333333333333336,265
11,13,1.1818181818181819,1.7692307692307692,8.846153846153845,165
3,5,1.6666666666666667,3.4,34.0,561
6,6,1.0,3.3333333333333335,16.666666666666668,119
6,8,1.3333333333333333,1.75,17.5,144
8,13,1.625,2.8461538461538463,14.230769230769232,82
3,6,2.0,3.3333333333333335,33.333333333333336,75
10,10,1.0,2.0,10.0,54
5,12,2.4,2.0,20.0,121
8,12,1.5,2.8333333333333335,14.166666666666668,176
4,5,1.25,2.6,26.0,76
7,7,1.0,2.857142857142857,14.285714285714286,60
7,11,1.5714285714285714,1.4545454545454546,14.545454545454547,60
7,9,1.2857142857142858,2.7777777777777777,13.88888888888889,211
3,6,2.0,4.0,40.0,204
9,9,1.0,2.2222222222222223,11.11111111111111,95
6,9,1.5,1.7777777777777777,17.77777777777778,325
8,12,1.5,2.5833333333333335,12.916666666666668,128
6,6,1.0,1.6666666666666667,16.666666666666668,44
6,6,1.0,3.3333333333333335,16.666666666666668,127
4,8,2.0,2.75,27.5,159
9,11,1.2222222222222223,2.272727272727273,11.363636363636363,110
4,5,1.25,2.4,24.0,229
7,8,1.1428571428571428,3.375,16.875,103
5,11,2.2,2.5454545454545454,25.454545454545453,127
9,11,1.2222222222222223,2.090909090909091,10.454545454545455,272
6,13,2.1666666666666665,4.153846153846154,20.76923076923077,116
5,9,1.8,2.2222222222222223,22.22222222222222,290
7,7,1.0,2.857142857142857,14.285714285714286,154
3,6,2.0,3.5,35.0,46
8,9,1.125,2.6666666666666665,13.333333333333332,270
5,9,1.8,1.8888888888888888,18.88888888888889,94
7,8,1.1428571428571428,2.875,14.375,48
2,4,2.0,4.5,45.0,109
8,11,1.375,2.272727272727273,11.363636363636363,297
4,11,2.75,2.1818181818181817,21.818181818181817,576
8,8,1.0,2.5,12.5,77
4,5,1.25,2.4,24.0,170
9,10,1.1111111111111112,2.1,10.5,139
3,8,2.6666666666666665,3.5,35.0,115
7,7,1.0,2.857142857142857,14.285714285714286,87
5,6,1.2,2.0,20.0,53
8,13,1.625,2.3846153846153846,11.923076923076923,154
4,10,2.5,2.7,27.0,237
7,7,1.0,2.857142857142857,14.285714285714286,124
5,7,1.4,2.0,20.0,40
9,10,1.1111111111111112,2.4,12.0,188
4,10,2.5,2.5,25.0,313
8,9,1.125,2.6666666666666665,13.333333333333332,83
5,5,1.0,2.0,20.0,64
8,11,1.375,2.5454545454545454,12.727272727272727,266
5,10,2.0,2.4,24.0,109
9,10,1.1111111111111112,2.2,11.000000000000002,53
3,5,1.6666666666666667,3.6,36.0,159
8,12,1.5,3.0,15.0,204
4,8,2.0,2.25,22.5,122
8,8,1.0,2.5,12.5,57
4,6,1.5,2.5,25.0,110
6,6,1.0,1.6666666666666667,16.666666666666668,45
9,12,1.3333333333333333,2.25,11.25,107
3,6,2.0,3.6666666666666665,36.666666666666664,46
6,14,2.3333333333333335,4.428571428571429,22.142857142857146,201
