num_clusters,num_used_servers,avg_num_servers_per_cluster,avg_num_skills_per_server,avg_cross_training_perf,total_stock
3,5,1.6666666666666667,4.4,44.00000000000001,122
1,5,5.0,20.0,100.0,46
2,9,4.5,5.0,50.0,43
11,14,1.2727272727272727,2.0,10.0,81
6,8,1.3333333333333333,1.875,18.75,52
2,6,3.0,16.0,80.0,77
3,10,3.3333333333333335,4.3,43.0,271
6,13,2.1666666666666665,5.076923076923077,25.384615384615383,86
2,5,2.5,5.0,50.0,31
5,7,1.4,4.714285714285714,23.571428571428573,62
8,10,1.25,1.3,13.0,116
1,11,11.0,20.0,100.0,37
3,6,2.0,3.6666666666666665,36.666666666666664,92
7,9,1.2857142857142858,3.3333333333333335,16.666666666666668,51
8,14,1.75,1.7142857142857142,17.142857142857142,73
1,10,10.0,20.0,100.0,143
1,4,4.0,10.0,100.0,78
5,6,1.2,4.5,22.5,63
10,13,1.3,1.0,10.0,80
2,8,4.0,13.75,68.75,96
1,6,6.0,10.0,100.0,45
4,6,1.5,5.333333333333333,26.666666666666664,287
5,11,2.2,2.272727272727273,22.727272727272727,230
1,11,11.0,20.0,100.0,57
7,8,1.1428571428571428,1.5,15.0,40
1,4,4.0,20.0,100.0,122
4,8,2.0,3.25,32.5,284
13,16,1.2307692307692308,1.8125,9.0625,90
4,7,1.75,3.5714285714285716,35.714285714285715,102
1,6,6.0,20.0,100.0,37
2,13,6.5,6.384615384615385,63.84615384615385,46
14,18,1.2857142857142858,1.6666666666666667,8.333333333333334,94
1,11,11.0,20.0,100.0,56
4,10,2.5,3.8,38.0,194
3,6,2.0,8.333333333333334,41.66666666666667,69
1,5,5.0,10.0,100.0,41
1,7,7.0,20.0,100.0,222
6,11,1.8333333333333333,1.9090909090909092,19.09090909090909,76
6,8,1.3333333333333333,4.75,23.75,58
1,4,4.0,10.0,100.0,139
5,10,2.0,4.9,24.500000000000004,413
7,12,1.7142857142857142,1.3333333333333333,13.333333333333332,124
1,6,6.0,20.0,100.0,38
2,5,2.5,6.8,68.0,138
7,12,1.7142857142857142,3.25,16.25,71
1,7,7.0,10.0,100.0,232
1,4,4.0,20.0,100.0,99
5,7,1.4,2.2857142857142856,22.857142857142854,41
7,14,2.0,4.642857142857143,23.214285714285715,66
5,12,2.4,2.5,25.0,145
1,5,5.0,20.0,100.0,65
4,7,1.75,3.0,30.0,50
9,12,1.3333333333333333,2.8333333333333335,14.166666666666668,141
1,11,11.0,10.0,100.0,26
1,6,6.0,20.0,100.0,26
3,5,1.6666666666666667,4.4,44.00000000000001,161
2,9,4.5,14.666666666666666,73.33333333333333,222
5,11,2.2,2.1818181818181817,21.818181818181817,77
4,7,1.75,8.0,40.0,71
1,5,5.0,10.0,100.0,59
1,10,10.0,20.0,100.0,42
5,9,1.8,2.111111111111111,21.11111111111111,100
8,8,1.0,2.5,12.5,91
1,7,7.0,10.0,100.0,21
6,7,1.1666666666666667,1.7142857142857142,17.142857142857142,43
4,10,2.5,8.0,40.0,62
1,5,5.0,10.0,100.0,42
1,10,10.0,20.0,100.0,73
4,7,1.75,8.857142857142858,44.28571428571429,52
5,10,2.0,2.2,22.000000000000004,63
1,6,6.0,20.0,100.0,38
1,10,10.0,10.0,100.0,52
1,5,5.0,10.0,100.0,32
1,9,9.0,20.0,100.0,45
4,6,1.5,2.5,25.0,76
5,11,2.2,5.7272727272727275,28.636363636363637,138
1,5,5.0,20.0,100.0,36
1,8,8.0,10.0,100.0,49
6,8,1.3333333333333333,4.5,22.5,99
2,10,5.0,5.0,50.0,61
1,4,4.0,10.0,100.0,65
1,8,8.0,20.0,100.0,101
4,7,1.75,3.142857142857143,31.428571428571427,112
8,14,1.75,3.5714285714285716,17.857142857142858,96
1,4,4.0,20.0,100.0,132
1,8,8.0,10.0,100.0,115
8,9,1.125,2.6666666666666665,13.333333333333332,220
7,12,1.7142857142857142,1.6666666666666667,16.666666666666668,252
5,6,1.2,2.1666666666666665,21.666666666666664,154
9,12,1.3333333333333333,2.8333333333333335,14.166666666666668,217
1,5,5.0,10.0,100.0,48
1,10,10.0,20.0,100.0,66
5,7,1.4,5.428571428571429,27.142857142857146,86
2,8,4.0,7.25,72.5,92
1,5,5.0,20.0,100.0,205
1,9,9.0,10.0,100.0,177
1,6,6.0,20.0,100.0,41
3,12,4.0,6.833333333333333,68.33333333333333,63
1,6,6.0,10.0,100.0,34
1,12,12.0,20.0,100.0,47
1,5,5.0,20.0,100.0,34
2,8,4.0,6.5,65.0,80
2,5,2.5,6.2,62.0,37
1,9,9.0,20.0,100.0,49
1,4,4.0,20.0,100.0,132
2,8,4.0,5.0,50.0,171
1,4,4.0,10.0,100.0,92
1,8,8.0,20.0,100.0,107
1,5,5.0,20.0,100.0,86
2,10,5.0,8.2,81.99999999999999,107
1,5,5.0,10.0,100.0,67
1,9,9.0,20.0,100.0,87
5,8,1.6,5.0,25.0,34
3,10,3.3333333333333335,4.2,42.0,60
4,8,2.0,2.75,27.5,31
9,14,1.5555555555555556,3.142857142857143,15.714285714285714,53
4,7,1.75,6.714285714285714,33.57142857142857,99
6,13,2.1666666666666665,2.3846153846153846,23.846153846153847,66
5,8,1.6,2.125,21.25,55
8,15,1.875,4.333333333333333,21.666666666666664,63
3,6,2.0,8.333333333333334,41.66666666666667,68
6,11,1.8333333333333333,2.272727272727273,22.727272727272727,185
2,5,2.5,6.8,68.0,227
12,16,1.3333333333333333,1.875,9.375,126
5,7,1.4,6.285714285714286,31.428571428571427,106
3,8,2.6666666666666665,4.375,43.75,642
4,6,1.5,3.3333333333333335,33.333333333333336,49
4,9,2.25,5.666666666666667,28.333333333333336,106
