num_clusters,num_used_servers,avg_num_servers_per_cluster,avg_num_skills_per_server,avg_cross_training_perf,total_stock
3,4,1.3333333333333333,3.25,32.5,88
5,6,1.2,4.333333333333333,21.666666666666664,56
2,9,4.5,4.666666666666667,46.66666666666667,69
6,9,1.5,2.888888888888889,14.444444444444443,105
4,6,1.5,2.6666666666666665,26.666666666666664,56
5,6,1.2,4.166666666666667,20.833333333333336,71
3,9,3.0,3.3333333333333335,33.333333333333336,248
8,12,1.5,2.5833333333333335,12.916666666666668,129
2,5,2.5,4.6,45.99999999999999,2272
5,5,1.0,4.0,20.0,74
6,8,1.3333333333333333,1.625,16.25,158
6,10,1.6666666666666667,3.6,18.0,73
3,5,1.6666666666666667,3.2,32.0,105
7,8,1.1428571428571428,2.75,13.75,70
5,12,2.4,1.9166666666666667,19.166666666666668,121
6,10,1.6666666666666667,3.4,17.0,214
3,4,1.3333333333333333,3.25,32.5,133
7,7,1.0,2.857142857142857,14.285714285714286,46
5,10,2.0,2.0,20.0,66
6,8,1.3333333333333333,3.25,16.25,194
3,5,1.6666666666666667,3.2,32.0,69
7,7,1.0,2.857142857142857,14.285714285714286,97
6,9,1.5,1.6666666666666667,16.666666666666668,307
7,12,1.7142857142857142,3.0,15.0,103
6,6,1.0,1.6666666666666667,16.666666666666668,43
6,6,1.0,3.3333333333333335,16.666666666666668,68
3,8,2.6666666666666665,3.25,32.5,116
8,11,1.375,2.5454545454545454,12.727272727272727,88
4,5,1.25,2.4,24.0,183
5,7,1.4,4.142857142857143,20.714285714285715,56
5,11,2.2,2.0,20.0,89
9,11,1.2222222222222223,2.090909090909091,10.454545454545455,223
4,11,2.75,5.2727272727272725,26.363636363636363,86
4,9,2.25,2.3333333333333335,23.333333333333336,211
5,5,1.0,4.0,20.0,193
2,5,2.5,4.8,48.0,60
6,8,1.3333333333333333,3.25,16.25,218
5,9,1.8,2.2222222222222223,22.22222222222222,88
6,7,1.1666666666666667,3.2857142857142856,16.428571428571427,46
3,5,1.6666666666666667,2.8,28.0,43
7,10,1.4285714285714286,2.6,13.0,205
4,10,2.5,2.2,22.000000000000004,108
6,7,1.1666666666666667,3.7142857142857144,18.571428571428573,74
4,5,1.25,2.6,26.0,128
8,10,1.25,2.5,12.5,152
2,7,3.5,4.714285714285714,47.142857142857146,256
5,5,1.0,4.0,20.0,75
5,6,1.2,2.0,20.0,49
8,13,1.625,2.4615384615384617,12.307692307692308,77
4,10,2.5,2.8,28.0,220
5,6,1.2,4.0,20.0,70
4,6,1.5,2.1666666666666665,21.666666666666664,46
8,9,1.125,2.4444444444444446,12.222222222222223,156
3,9,3.0,3.5555555555555554,35.55555555555556,71
6,7,1.1666666666666667,3.5714285714285716,17.857142857142858,45
5,5,1.0,2.0,20.0,64
5,10,2.0,3.9,19.5,194
5,11,2.2,2.1818181818181817,21.818181818181817,76
6,7,1.1666666666666667,3.2857142857142856,16.428571428571427,89
3,5,1.6666666666666667,3.0,30.0,71
7,11,1.5714285714285714,2.909090909090909,14.545454545454547,97
4,8,2.0,2.25,22.5,107
7,7,1.0,2.857142857142857,14.285714285714286,73
3,6,2.0,3.3333333333333335,33.333333333333336,95
5,6,1.2,2.0,20.0,40
6,10,1.6666666666666667,2.8,14.0,77
2,6,3.0,5.0,50.0,186
5,12,2.4,4.583333333333333,22.916666666666664,86
7,7,1.0,2.857142857142857,14.285714285714286,48
5,10,2.0,2.0,20.0,389
6,7,1.1666666666666667,3.4285714285714284,17.142857142857142,56
2,10,5.0,6.2,62.0,135
3,5,1.6666666666666667,3.2,32.0,46
5,9,1.8,4.222222222222222,21.11111111111111,86
3,5,1.6666666666666667,3.0,30.0,77
8,12,1.5,2.4166666666666665,12.083333333333332,102
7,7,1.0,2.857142857142857,14.285714285714286,49
3,9,3.0,3.6666666666666665,36.666666666666664,1013
8,8,1.0,2.5,12.5,67
5,11,2.2,2.0,20.0,81
3,4,1.3333333333333333,3.5,35.0,110
6,9,1.5,3.4444444444444446,17.22222222222222,103
5,5,1.0,2.0,20.0,164
10,11,1.1,1.9090909090909092,9.545454545454545,234
5,5,1.0,4.0,20.0,72
4,8,2.0,2.375,23.75,112
7,7,1.0,2.857142857142857,14.285714285714286,69
4,9,2.25,2.2222222222222223,22.22222222222222,182
5,5,1.0,2.0,20.0,117
8,9,1.125,2.4444444444444446,12.222222222222223,174
4,5,1.25,2.4,24.0,103
7,11,1.5714285714285714,3.090909090909091,15.454545454545453,156
7,7,1.0,2.857142857142857,14.285714285714286,58
4,8,2.0,2.0,20.0,116
5,6,1.2,4.0,20.0,82
4,9,2.25,2.4444444444444446,24.444444444444446,212
5,7,1.4,3.857142857142857,19.285714285714285,54
2,10,5.0,6.6,66.0,129
2,6,3.0,5.0,50.0,95
7,12,1.7142857142857142,3.3333333333333335,16.666666666666668,291
6,6,1.0,3.3333333333333335,16.666666666666668,74
2,8,4.0,5.0,50.0,70
3,5,1.6666666666666667,4.4,44.00000000000001,42
6,10,1.6666666666666667,3.9,19.5,78
6,6,1.0,3.3333333333333335,16.666666666666668,55
3,8,2.6666666666666665,3.125,31.25,79
3,5,1.6666666666666667,3.2,32.0,38
8,8,1.0,2.5,12.5,250
5,6,1.2,3.6666666666666665,18.333333333333332,105
5,10,2.0,1.9,19.0,158
3,5,1.6666666666666667,3.6,36.0,87
6,10,1.6666666666666667,3.3,16.5,143
6,7,1.1666666666666667,3.2857142857142856,16.428571428571427,41
6,10,1.6666666666666667,1.8,18.0,63
4,6,1.5,2.1666666666666665,21.666666666666664,143
6,11,1.8333333333333333,3.272727272727273,16.363636363636367,180
9,9,1.0,2.2222222222222223,11.11111111111111,70
5,11,2.2,1.9090909090909092,19.09090909090909,107
4,6,1.5,2.5,25.0,54
8,12,1.5,2.25,11.25,102
6,6,1.0,3.3333333333333335,16.666666666666668,85
6,10,1.6666666666666667,1.8,18.0,125
4,5,1.25,2.4,24.0,116
7,10,1.4285714285714286,2.6,13.0,183
7,7,1.0,2.857142857142857,14.285714285714286,99
3,8,2.6666666666666665,2.5,25.0,120
3,4,1.3333333333333333,3.25,32.5,82
8,9,1.125,2.4444444444444446,12.222222222222223,134
