num_clusters,num_used_servers,avg_num_servers_per_cluster,avg_num_skills_per_server,avg_cross_training_perf,total_stock
3,4,1.3333333333333333,3.25,32.5,88
2,5,2.5,14.8,74.0,84
1,8,8.0,10.0,100.0,167
6,9,1.5,2.888888888888889,14.444444444444443,132
4,6,1.5,2.6666666666666665,26.666666666666664,56
3,5,1.6666666666666667,7.6,38.0,120
3,9,3.0,3.3333333333333335,33.333333333333336,248
6,11,1.8333333333333333,3.090909090909091,15.454545454545453,128
2,5,2.5,4.6,45.99999999999999,2272
5,5,1.0,4.0,20.0,87
6,8,1.3333333333333333,1.625,16.25,158
2,9,4.5,14.444444444444445,72.22222222222223,107
3,5,1.6666666666666667,3.2,32.0,105
7,8,1.1428571428571428,2.75,13.75,71
5,12,2.4,1.9166666666666667,19.166666666666668,121
2,9,4.5,12.0,60.0,218
2,4,2.0,5.0,50.0,101
4,5,1.25,5.4,27.0,52
5,10,2.0,2.0,20.0,66
3,7,2.3333333333333335,7.714285714285714,38.57142857142857,272
3,5,1.6666666666666667,3.2,32.0,69
7,7,1.0,2.857142857142857,14.285714285714286,97
6,9,1.5,1.6666666666666667,16.666666666666668,307
3,10,3.3333333333333335,12.4,62.0,205
6,6,1.0,1.6666666666666667,16.666666666666668,43
2,4,2.0,14.0,70.0,91
3,7,2.3333333333333335,3.7142857142857144,37.142857142857146,299
8,10,1.25,2.4,12.0,116
4,5,1.25,2.4,24.0,183
1,6,6.0,20.0,100.0,1443
5,11,2.2,2.0,20.0,89
9,11,1.2222222222222223,2.090909090909091,10.454545454545455,254
3,10,3.3333333333333335,8.0,40.0,98
4,9,2.25,2.3333333333333335,23.333333333333336,211
6,6,1.0,3.3333333333333335,16.666666666666668,152
1,5,5.0,10.0,100.0,41
2,7,3.5,10.0,50.0,209
4,9,2.25,2.4444444444444446,24.444444444444446,81
5,6,1.2,3.8333333333333335,19.166666666666668,47
2,4,2.0,4.0,40.0,91
8,11,1.375,2.272727272727273,11.363636363636363,157
