CIE_SA,factor_names,MSSA,MSSA_Inner,MSSA_Adaptive,VNS_Kmedian,VNS,Kmedian1,Kmedian2,Kmedian3,Kmedian4,GA2,Flexible,Dedicated
461494.53,n_sku_10,458551.1,460314.12,465476.08,460282.98,464112.9,535498.3,545144.45,520323.9,536074.37,482726.65,623823.7,740155.53
524580.94,n_sku_20,509520.15,512098.65,522532.24,520563.91,548294.9,622379.53,652491.72,599168.86,622308.98,617788.82,832826.71,1244120.54
368403.44,initial_servers_5,356981.51,356948.62,364505.66,362644.78,385445.05,430475.86,452359.55,412359.46,430405.31,430164.9,519952.89,916201.41
617672.03,initial_servers_10,611089.74,615464.15,623502.65,618202.11,626962.75,727401.97,745276.62,707133.3,727978.04,670350.58,936697.52,1068074.66
455899.97,util_rate_65,447185.58,446990.62,453366.23,450476.0,474020.62,528687.58,551495.16,519129.22,528687.58,512881.29,652017.36,973743.25
530175.51,util_rate_80,520885.66,525422.15,534642.09,530370.89,538387.18,629190.25,646141.01,600363.54,629695.77,587634.18,804633.06,1010532.83
489288.46,cost_hmin_1,481838.98,483321.26,487465.96,487065.83,502745.43,572319.59,582751.68,549804.48,572319.59,549144.14,718821.94,993733.79
496787.01,cost_hmin_100,486232.27,489091.51,500542.36,493781.07,509662.36,585558.24,614884.49,569688.28,586063.76,551371.33,737828.47,990542.28
503041.43,work_load_relation_IND,495198.92,496674.42,506703.47,501155.97,515225.37,590425.04,611769.92,565663.65,590930.56,562569.25,741423.49,996107.42
483034.04,work_load_relation_HPB,472872.33,475738.34,481304.85,479690.92,497182.42,567452.79,585866.25,553829.11,567452.79,537946.23,715226.93,988168.65
862089.85,cost_f_100,847367.33,849573.22,863547.54,857862.15,886462.23,1018266.48,1058540.84,984262.77,1018772.0,965613.75,1288380.19,1779853.67
123985.62,cost_f_10,120703.92,122839.55,124460.78,122984.74,125945.56,139611.35,139095.33,135229.99,139611.35,134901.73,168270.23,204422.4
544968.1,cost_ci_10,538319.6,541370.93,551626.44,551373.88,561472.14,688939.11,724368.6,659817.64,689444.63,605166.71,974776.54,1034072.16
441107.37,cost_ci_1,429751.65,431041.84,436381.88,429473.01,450935.66,468938.72,473267.57,459675.12,468938.72,495348.77,481873.87,950203.91
