"case_id","running_time","total_cost","holding_cost","penalty_cost","machine_cost","skill_cost","best_cluster","bestS","bestEBO","bestServerAssignment","GAP","GAPoolingPercentGAP"
"Case: 0001",2882.64999985695,682754.146091135,23402.7911001536,9351.3549909817,500000,150000,"[[5, 7, 9], [1, 2], [3, 4, 6, 8, 10]]","[[8, 4, 2], [7, 2], [2, 8, 5, 5, 3]]","[[0.11909561817033443, 0.012613309434416513, 0.01619587276894674], [0.09246486260589475, 0.009529358995360487], [0.05539017913329169, 0.0004748477382539028, 0.02889527550528036, 0.0017648949022344654, 0.02751927077666076]]","[2, 2, 1]",77240.4285369779,12.7561814534894
"Case: 0002",7149.16499996185,95044.1215411635,31695.4990588904,11348.6224822731,50000,2000,"[[14, 17, 19], [4, 9, 13, 20], [3, 8, 11, 18], [2, 6, 7, 10, 12], [1, 5, 15, 16]]","[[6, 15, 6], [9, 6, 4, 1], [2, 2, 1, 4], [4, 1, 3, 5, 14], [2, 3, 1, 2]]","[[0.008173536651938098, 0.06852668867359542, 0.0005029765535207667], [0.0036297437677852724, 0.03136646543586519, 0.0229267809827374, 0.020156760646287093], [0.02686197745663785, 0.024076446308692084, 0.030940266871302836, 0.03526466914575429], [0.014216122364028288, 0.006752024219623164, 0.0017335455855908963, 0.04372030286357721, 0.00260932041615859], [0.037036267280186205, 0.0357434381574237, 0.012363538437881525, 0.023811415045138996]]","[1, 1, 1, 1, 1]",17866.0477167798,23.1491236195314
"Case: 0003",5837.23200011253,120947.978862478,22868.5972611476,5379.38160133008,90000,2700,"[[7], [8], [2, 5, 9], [1, 3, 4, 6, 10]]","[[8], [15], [9, 16, 3], [4, 7, 3, 4, 1]]","[[0.05401162056187247], [0.03459784776926273], [0.0003238039237110176, 0.060011587651752706, 0.024444804440714105], [0.002543043004380534, 0.0191922659992671, 0.03268336445117853, 0.032522479585042514, 0.004293451345436151]]","[2, 1, 3, 3]",8440.9651891555,7.50261242704821
"Case: 0004",4854.83800005913,1425438.68590158,49556.0191213084,15882.6667802764,1100000,260000,"[[4, 18], [10], [3, 12], [1, 2, 11, 15], [7, 8, 20], [5, 16, 17, 19], [6, 13], [9, 14]]","[[3, 2], [4], [8, 373], [6, 2, 7, 10], [10, 11, 6], [2, 2, 4, 4], [24, 4], [2, 2]]","[[0.03565509081565926, 0.011911519689111381], [0.0067555542528503435], [0.06642464092916446, 0.013553710816860626], [0.059804223490653334, 0.022293521762470493, 0.0053785696802531955, 0.011748843613055478], [0.10189332375363742, 0.0050706012124410085, 0.06068496070651778], [0.010644507723634126, 0.04911214125953631, 0.00484286124725263, 0.03149388470726863], [0.037736674163941324, 0.06445569568525218], [0.009586918265197577, 0.04585972551753432]]","[1, 1, 2, 1, 1, 1, 3, 1]",-114322.075932035,-7.42466484182224
"Case: 0005",3028.41799998283,98416.2680591883,15566.1372448795,6850.13081430881,60000,16000,"[[4, 5], [2, 3, 6, 8], [1, 9, 10], [7]]","[[6, 6], [1, 13, 3, 1], [3, 1, 2], [24]]","[[0.051961618763620085, 0.024991558385889713], [0.033296128655420545, 0.007093706283818818, 0.05176842887154671, 0.051384132818425535], [0.04783393221637595, 0.004651194973165704, 0.0411238852961037], [0.004543021175296415]]","[2, 2, 1, 1]",-366.667045180322,-0.371184602677499
"Case: 0006",4040.21899986267,799585.211437485,59461.7820785442,20123.4293589408,700000,20000,"[[1, 6], [13, 20], [10, 12, 17, 18, 19], [3, 9, 14], [4, 7, 15], [8, 11], [2, 5, 16]]","[[7, 3], [8, 3], [6, 4, 4, 2, 1], [16, 6, 16], [14, 2, 12], [6, 3], [6, 2, 11]]","[[0.015118308125764757, 0.019078440014006916], [0.002067022683330395, 0.017203385470758205], [0.005171166550124194, 0.10241617494522401, 0.0361778863326009, 0.005551496146710525, 0.0025553969501300945], [0.0058364164136370635, 0.006888365245498321, 0.12641586247369593], [0.21854671823624555, 0.0223764311035217, 0.04006348035553137], [0.025559776729674154, 0.038969147058619695], [0.03336888043329822, 0.013200795946255792, 0.08155790683538415]]","[1, 1, 1, 1, 1, 1, 1]",213962.91165202,36.5359911551187
"Case: 0007",3702.37800002098,1050361.75016176,101678.235976187,27683.5141855772,900000,21000,"[[3, 5, 7], [2, 4], [8], [1, 6, 9, 10]]","[[10, 69, 12], [13, 46], [41], [15, 14, 15, 30]]","[[0.06257588485429778, 0.4464884360749949, 0.03778207941268397], [0.10053538234028561, 0.04677008397175494], [0.0005897126454351823], [0.04103078698477562, 0.14390306334948288, 0.14186455229332334, 0.06104670429670117]]","[1, 4, 2, 2]",53679.5349602362,5.38582249602821
"Case: 0008",2579.56300020218,200101.786035627,35042.6081490016,12059.1778866255,130000,23000,"[[14, 15, 17], [10, 16], [18, 20], [5, 8], [9], [11, 13], [7], [2, 4], [12], [6], [1, 3, 19]]","[[2, 4, 3], [5, 2], [7, 4], [17, 5], [50], [11, 9], [3], [2, 2], [10], [4], [1, 18, 6]]","[[0.01440374095231043, 0.0005228087636552671, 0.004770082516353591], [0.01616505978677136, 0.017327316127095423], [0.006017628150185745, 0.08877078849828979], [0.014907723975371033, 0.0505076416994061], [0.042948244538887764], [0.002189643070666011, 0.044302252882689595], [0.05125369016711802], [0.04880823793829732, 0.022409873574251477], [0.021375005877745237], [0.08669049013844735], [0.0008968340279156078, 0.0470310220969019, 0.04712827306423317]]","[1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1]",15515.9084068109,8.40579388094457
"Case: 0009",5658.78999996185,76994.1000561455,19707.7216271151,5586.37842903034,50000,1700,"[[2, 3], [6, 7, 9], [1, 4, 5, 8, 10]]","[[14, 28], [5, 1, 3], [81, 110, 46, 253, 20]]","[[0.018665893397469886, 0.06844426748244312], [0.012241535441660126, 0.013857286811617882, 0.029218710542374154], [0.4202884642899638, 1.163082454637709, 0.05164574945035147, 1.0154946954167179, 0.14837403507605068]]","[2, 1, 2]",9468.08753059409,14.0213929069356
"Case: 0010",6196.17999982834,881255.648593893,59361.7743003881,21893.8742935045,600000,200000,"[[2, 10, 13, 16, 17], [6, 20], [7, 8, 12, 18], [1, 11, 15], [4, 5, 9, 14, 19], [3]]","[[5, 4, 1, 11, 1], [6, 2], [9, 3, 2, 2], [6, 6, 38], [3, 1, 3, 10, 2], [4]]","[[0.03252568884685695, 0.0838284135850388, 0.03758263043790354, 0.14185991925970737, 0.015625160221811277], [0.06402749444962386, 0.01583129796285386], [0.010018017205911521, 0.027708868466158623, 0.016566762817664848, 0.016828407980136954], [0.01627406375602193, 0.02353649388268303, 0.11225338834743356], [0.006825186520635704, 0.011678745105947907, 0.041833970242010625, 0.06025883301618663, 0.04012692806115704], [0.0221787232123712]]","[1, 1, 1, 1, 1, 1]",42852.0054968175,5.11114256833637
