"case_id","running_time","total_cost","holding_cost","penalty_cost","machine_cost","skill_cost","best_cluster","bestS","bestEBO","bestServerAssignment","GAP","GAPoolingPercentGAP"
"Case: 0001",5.67002916336059,800449.364628257,62367.8992128852,18081.465415372,500000,220000,"[[1, 2, 5, 7, 8, 9], [3, 4, 6], [10]]","[[30, 5, 24, 11, 40, 3], [1, 4, 3], [1]]","[[0.3058231321919054, 0.015910379025164317, 0.2760047382383509, 0.021625502635325176, 0.014890142797457826, 0.03525155865951263], [0.026767623749434612, 0.00018652717188818527, 0.006631187003653271], [0.0006180971841599347]]","[3, 1, 1]",194935.647074099,32.1934320268582
"Case: 0002",27.6397097110748,86567.6722745991,17352.0546014022,9215.6176731969,50000,10000,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]","[[2, 1, 1, 6, 3, 1, 2, 2, 3, 2, 1, 8, 2, 1, 1, 2, 3, 2, 2, 1]]","[[0.04242555656000646, 0.01953310792327822, 0.04567864712862246, 0.004726844565240545, 0.0416520393734758, 0.0014227894081870873, 0.0008195836237708467, 0.009103373760802686, 0.03254434866004115, 0.03736130308223553, 0.013798035083794433, 0.0019213493402505358, 0.021627435289329967, 0.004589432821390375, 0.009951748452415957, 0.0210780742467611, 0.0067233680906802875, 0.04682094855668417, 0.00024679350315602214, 0.003731279252431586]]","[5]",9389.59845021544,12.1661476957577
"Case: 0003",14.9797472953796,115427.958757427,16444.3388609633,4483.61989646368,90000,4500,"[[1, 2, 3, 4, 10], [5, 6, 7, 8, 9]]","[[4, 3, 7, 3, 1], [10, 5, 4, 4, 2]]","[[0.0017527196071884577, 0.0003998127268959165, 0.01321035801670285, 0.025573745796651892, 0.003847615200874921], [0.03684061109212678, 0.0784960608473763, 0.03586617295775928, 0.0029595870242187785, 0.021612987768109222]]","[2, 7]",2920.94508410482,2.59623377133281
"Case: 0004",45.7720127105712,1733342.35027169,39154.2842517833,14188.0660199077,1400000,280000,"[[1, 7], [2, 20], [4, 9, 11], [5, 15], [6, 18], [8], [12, 14], [3, 10, 13], [16], [17], [19]]","[[1, 2], [2, 6], [2, 3, 6], [1, 3], [10, 2], [1], [4, 1], [12, 10, 11], [1], [2], [1]]","[[0.024003712395656605, 0.011520979760187707], [0.03117314659783416, 0.06457316510216056], [0.04102230011873654, 0.02807326964261996, 0.004528017664818977], [0.04247903274307829, 0.00293644218816508], [0.011689694180786997, 0.012032663793657415], [0.0007102068067871168], [9.540572429780206e-05, 0.01355898756368728], [0.08992991958044207, 0.013197818757413693, 0.14016170807611172], [0.041625288694588855], [0.0041745644589711], [0.007545361682533683]]","[1, 1, 1, 1, 2, 1, 1, 3, 1, 1, 1]",193581.588438071,12.572186097764
"Case: 0005",11.4230713844299,113894.567978071,12867.2258249806,6027.3421530909,80000,15000,"[[3], [4, 5], [1, 2, 6], [7], [8], [9, 10]]","[[8], [6, 6], [2, 1, 3], [24], [1], [0, 1]]","[[0.0037908363378885163], [0.051961618763620085, 0.024991558385889713], [0.03813356963417092, 0.0301483399061867, 0.04473580698163291], [0.004543021175296415], [0.001996711244103145], [0.035327152891651135, 0.04474532327513136]]","[1, 2, 2, 1, 1, 1]",15111.6328737028,15.2978172370933
"Case: 0006",55.72008228302,742439.579777035,33966.8287813401,12472.7509956949,600000,96000,"[[3], [1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]]","[[0], [3, 4, 3, 1, 2, 1, 3, 3, 10, 1, 9, 9, 5, 2, 7, 8, 2, 1, 3]]","[[0.0010417836295689657], [0.006999764454027356, 0.024332479401548927, 0.03936756067481261, 0.01957820998522801, 0.01139627923298219, 0.013870388119476374, 0.016762248988495133, 0.006346936437276344, 0.006182667078387081, 0.03824648220000473, 0.11172193120910832, 0.0013754325663219184, 0.06331474364138531, 0.014376055515689257, 0.05667756831844193, 0.039028734701865575, 0.011821199115386264, 0.009888282306057523, 0.014754066435481931]]","[1, 5]",156817.27999157,26.7778873941477
"Case: 0007",28.2523624897003,1124154.36378471,65618.4956623629,15535.8681223546,1000000,43000,"[[1], [5, 6, 9, 10], [2, 3, 4, 7, 8]]","[[1], [3, 3, 4, 7], [20, 32, 69, 36, 96]]","[[0.0023396345324927692], [0.013443550579462383, 0.032660399077035475, 0.02503991199324925, 0.00985752956102099], [0.1437540707565446, 0.1813094487294715, 0.07209472633559813, 0.12585379779803285, 0.0011898847376010414]]","[1, 3, 6]",127472.148583189,12.7896481585571
"Case: 0008",248.218402862548,225614.448226705,22264.2974009033,7350.15082580222,130000,66000,"[[4], [1, 3, 5, 8, 9, 19], [10, 14, 17], [16], [15, 18], [2, 6, 7, 11, 12, 13, 20]]","[[1], [1, 5, 16, 4, 7, 3], [11, 4, 6], [1], [3, 2], [2, 3, 2, 4, 6, 3, 2]]","[[0.007215283394267241], [0.00040613807803222034, 0.006990296088325722, 0.013425672969293655, 0.0561020972660939, 0.003993395461509178, 0.006860383811031618], [0.027419514974071423, 0.021415431746862675, 0.011565352045545069], [0.0025284154490941868], [0.0001761299352744208, 0.003236656794512605], [0.031449685854583145, 0.039352883095600505, 0.05151764313096275, 0.0004125252076752399, 0.02284733947496201, 0.011669676963900678, 0.06444561153182066]]","[1, 4, 1, 1, 1, 5]",41028.5705978893,22.2273616621926
"Case: 0009",7.02037382125854,70200.0309199911,12701.6654686686,4998.36545132253,50000,2500,"[[4, 5, 6, 7, 8], [1, 2, 3, 9, 10]]","[[2, 2, 3, 1, 4], [4, 4, 6, 3, 2]]","[[0.03711441702658308, 0.0007382200011945134, 0.00643502678119939, 0.004916142442307477, 0.0268279754981742], [0.04299487317106221, 0.0020449652806610614, 0.013179675557052009, 0.0643359872776848, 0.012303080715434806]]","[1, 4]",2674.01839443981,3.95998267101583
"Case: 0010",18.8369238376617,1075279.51070045,34144.7497347121,11134.7609657435,700000,330000,"[[2, 14], [1, 3, 4, 5, 11, 13, 17, 20], [6, 7, 9, 16, 19], [15], [8, 10, 12, 18]]","[[0, 0], [7, 7, 8, 4, 8, 5, 2, 4], [2, 6, 1, 3, 1], [0], [1, 1, 1, 1]]","[[0.005210194619725868, 0.013168335631917398], [0.02485089937735284, 0.04759487968425376, 0.028640202920689875, 0.012857995313690685, 0.021624170962603044, 0.0526211940994265, 0.04284498384863714, 0.05963211823131957], [0.011355266403208079, 0.0039965893359983394, 0.01762929748356748, 0.03259440702830838, 0.009223771719699295], [0.008025611276142436], [0.006321419673034557, 0.0026676630781152597, 0.002600186091534849, 0.0020658027104111295]]","[1, 2, 2, 1, 1]",236875.86760338,28.2532011345224
