"case_id","running_time","total_cost","holding_cost","penalty_cost","machine_cost","skill_cost","best_cluster","bestS","bestEBO","bestServerAssignment","GAP","GAPoolingPercentGAP"
"Case: 0001",288.225520133972,608738.385323317,58865.3783243877,19873.0069989294,400000,130000,"[[1, 2, 9], [5], [3, 4, 6, 7, 8, 10]]","[[18, 3, 2], [32], [3, 11, 7, 2, 6, 4]]","[[0.195280197630468, 0.019126448465183517, 0.03844994047933667], [0.37940812078510394], [0.05799237191411139, 0.0004293528101896908, 0.03394010676118257, 0.007161668236272297, 0.002648967420938536, 0.038996358024794515]]","[2, 1, 1]",3224.66776915988,0.532550737609255
"Case: 0002",2520.54259204864,91929.41571626,21977.7965757729,7351.61914048709,60000,2600,"[[1, 2, 4, 8, 18, 20], [3, 6, 7, 9, 10, 14], [17, 19], [5, 13, 15], [11, 12, 16]]","[[1, 1, 3, 1, 2, 0], [2, 1, 2, 5, 3, 2], [11, 5], [3, 3, 1], [1, 7, 2]]","[[0.011420876825456566, 0.002793315999389136, 0.0006768557401540459, 0.006705173501353765, 0.004905652572374052, 0.033829917279450415], [0.022467025349819147, 0.002512154988746497, 0.0019924693124671435, 0.02443251887931719, 0.03456983793532102, 0.00035484018879607365], [0.04975101814440689, 0.00032796100757299235], [0.02818458333410079, 0.0046929308996148346, 0.010632364502224703], [0.021516103219917256, 0.001035196060467018, 0.028975549307995646]]","[1, 2, 1, 1, 1]",14751.3418918764,19.1133843602298
"Case: 0003",653.311840295791,115271.361543439,16430.0228358704,4641.33870756931,90000,4200,"[[5, 7, 8, 9], [1, 2, 3, 4, 6, 10]]","[[28, 7, 5, 4], [5, 4, 8, 3, 4, 1]]","[[0.10498400348019228, 0.0672611881563411, 0.008737093690664773, 0.04874653181772842], [0.0011536841414605784, 0.00013242492467557075, 0.01608900787105604, 0.04374479233963281, 0.04036338369666885, 0.005349363843512154]]","[6, 3]",2764.34787011756,2.45704492534499
"Case: 0004",1467.40477037429,1221376.27561667,47822.4004211727,13553.8751954984,900000,260000,"[[10, 18], [3, 13], [6, 20], [2, 4, 9, 11], [5, 7, 8, 12, 15], [1, 14, 16, 17, 19]]","[[5, 4], [8, 7], [13, 10], [3, 4, 5, 9], [2, 3, 4, 11, 4], [2, 2, 2, 3, 4]]","[[0.0050505233650468915, 0.04908298306039392], [0.04432437689160049, 0.07461858607951828], [0.01591637222155981, 0.08184436357196072], [0.018055858596388284, 0.03267707141817057, 0.040871047171143364, 0.010388280836941936], [0.030563474178325126, 0.04018573228432928, 0.001487807169036501, 0.0005183187956434642, 0.005149102826492576], [0.009229141316247212, 0.022032284976128406, 0.04303101169359847, 0.011107132569636224, 0.022747948642091884]]","[1, 3, 2, 1, 1, 1]",-318384.486216948,-20.6775295298343
"Case: 0005",247.415351867675,97020.8361188667,15048.6669818984,5972.16913696837,60000,16000,"[[1, 2, 6, 10], [7], [4, 5], [3, 8, 9]]","[[3, 2, 3, 2], [24], [6, 6], [9, 1, 0]]","[[0.019744126211828958, 0.006423599868963203, 0.0730845274903817, 0.019361402767526237], [0.004543021175296415], [0.0519616187636201, 0.024991558385889723], [0.006132543741116263, 0.029173122335795325, 0.042391934081448666]]","[2, 1, 2, 1]",-1762.09898550187,-1.78380909986136
"Case: 0006",2281.78643727302,667104.214993438,31637.6487866433,10466.5662067947,600000,25000,"[[5, 11, 15, 16], [7, 8], [6, 9], [3, 10, 12, 13, 14, 17, 19], [1, 2, 4, 18, 20]]","[[1, 1, 2, 7], [2, 9], [4, 10], [2, 3, 2, 3, 2, 2, 0], [4, 6, 4, 3, 4]]","[[0.020137497578926446, 0.04182531716900801, 0.013384180534196469, 0.03629760485216123], [0.010677941770394564, 0.0502356634240092], [0.06174100630347828, 0.016903614062045963], [0.0006311115997204221, 0.0015270450525872669, 0.027376765823217943, 0.0002070572166997903, 0.01173032632192381, 0.008960988266016053, 0.01342698489172244], [0.009025564569202282, 0.024083778663220014, 0.049707143789249925, 0.009509058196373247, 0.018132219129986978]]","[1, 1, 1, 1, 2]",81481.9152079734,13.9137316386044
"Case: 0007",923.133540868759,978989.467098632,38165.6805889416,10823.7865096909,900000,30000,"[[2, 7], [4, 8], [1, 3, 5, 6, 9, 10]]","[[10, 18], [82, 114], [4, 1, 3, 4, 4, 8]]","[[0.08793623497813689, 0.06818037953477646], [0.08483465550397506, 0.0014359176103214688], [0.01318537944039521, 0.017602483287763718, 0.032103681543764195, 0.037022165530128534, 0.06014794156365033, 0.02082427190513779]]","[1, 5, 3]",-17692.7481028958,-1.77516442382974
"Case: 0008",1075.45083212852,188168.596183625,28923.8129508365,8244.7832327889,120000,31000,"[[10, 14], [5, 8], [4, 16, 17, 18], [3, 12], [2, 6, 7], [13, 15], [20], [1, 9, 11, 19]]","[[8, 3], [17, 5], [2, 1, 2, 3], [4, 14], [2, 3, 3], [6, 9], [4], [1, 14, 23, 5]]","[[0.012732777518564426, 0.013386990373177227], [0.01490772397537101, 0.050507641699406115], [0.004474454010890993, 0.01983746272914398, 0.007505865675878815, 0.0012596642496091246], [0.005288710273602146, 0.046683259454205706], [0.048392070020397755, 0.0663088950951669, 0.02607257388050136], [0.018971419229682172, 0.0010726651825164048], [0.05232806915360026], [0.0006342687898484396, 0.011854386801163273, 0.00861794930423399, 0.018814257071893527]]","[1, 2, 1, 2, 2, 1, 1, 2]",3582.71855480922,1.94094943818709
"Case: 0009",584.024939298629,68652.9294359595,12417.1977365636,3935.73169939589,50000,2300,"[[2, 3, 10], [1, 4, 5, 6, 7, 8, 9]]","[[625, 1185, 444], [3, 2, 2, 3, 1, 5, 2]]","[[0.7647892858737585, 1.528707842303238, 3.12276501120082], [0.006582297508178274, 0.03792499535859727, 0.0009514546098718654, 0.008493523506140256, 0.004654507413242695, 0.017204713302274223, 0.028648533085541734]]","[3, 2]",1126.91691040818,1.66886340279868
"Case: 0010",1788.95695114135,751759.16877229,36892.6053181355,14866.5634541551,500000,200000,"[[4, 5, 13, 20], [6, 7, 9], [1, 11], [3, 17], [2, 8, 10, 12, 14, 15, 16, 18, 19]]","[[4, 2, 2, 2], [4, 13, 2], [6, 6], [4, 1], [2, 3, 2, 2, 5, 5, 5, 3, 1]]","[[0.013626358092763531, 0.00797767933942424, 0.0361414963979977, 0.03825345644862425], [0.027694017916586034, 0.015724406399397945, 0.042687669153343905], [0.015220846296078578, 0.02204825852547629], [0.03561219438200781, 0.040520343930528904], [0.022531859349900964, 0.035543289141807495, 0.034922251499834044, 0.020670398991634052, 0.020948007888972792, 0.012449445118683304, 0.05761044071394972, 0.005778858192516065, 0.035474951255022716]]","[1, 1, 1, 1, 1]",-86644.4743247843,-10.3344582335924
